name,field,subcategory,mbti
The Undertaker,Sports,Wrestling,INTJ
The Undertaker (American Badass / Big Evil),Sports,Wrestling,ISTP
The Undertaker (Ministry of Darkness),Sports,Wrestling,ENTJ
The Warlord,Sports,Wrestling,ESTP
Theo Epstein,Sports,Baseball,INTJ
Theo Hernández,Sports,Football,ESFP
Theo Walcott,Sports,Football,ESFJ
Thiago Galhardo,Sports,Football,ESTP
Thiago Neves,Sports,Football,ESTP
Thiago Silva,Sports,Football,ISFJ
Thibaut Courtois,Sports,Football,ISFP
Thierry Henry,Sports,Football,INTJ
Thom Brennaman,Entertainment,"Hosts, Analysts & Commentators",ISTJ
Thomas Davis Sr.,Sports,Football,ENFJ
Thomas Delaney,Sports,Football,ENFP
Thomas Lemar,Sports,Football,ENTJ
Thomas Müller,Sports,Football,ENTP
Thomas Tuchel,Sports,Football,ENTJ
Thomas Vermaelen,Sports,Football,ENFJ
Thunder Rosa,Sports,Wrestling,ESTJ
Thurman Munson,Sports,Baseball,ISTP
Tiago Lemos,Sports,Skateboarding,ISFP
Tiger Woods,Sports,Golf,ISTP
Tigran Petrosian,Sports,Chess,INTP
Tijana Boskovic,Sports,Volleyball,ISFJ
Tiki Barber,Sports,Football,ESFP
Tiki Taka (style of play),Sports,Football,ENTP
Tim Anderson,Sports,Baseball,ESFP
Tim Duncan,Sports,Basketball,INTP
Tim Hightower,Sports,Football,ISFJ
Tim Howard,Sports,Football,ISTJ
Tim Lincecum,Sports,Baseball,ISFP
Tim Salmon,Sports,Baseball,ISTJ
Tim Tebow,Sports,Football,ISFJ
Timo Boll,Sports,Table Tennis,ISTJ
Timo Werner,Sports,Football,ENFP
Tite,Sports,Football,ESFJ
Tito Ortiz,Sports,MMA,ESFP
TJ Dillashaw,Sports,MMA,ISTJ
Tobias Harris,Sports,Basketball,ISFJ
Toby Segar,Sports,Other Talented Individuals,ENFP
Todd Cantwell,Sports,Football,INFP
Todd Frazier,Sports,Baseball,ESFJ
Todd Gurley,Sports,Football,ENFJ
Todd Helton,Sports,Baseball,ISTJ
Todd Marinovich,Sports,Football,ESFP
Tom Brady,Sports,Football,ENFP
Tom Coughlin,Sports,Football,ESTJ
Tom Dwan,Sports,Poker,INTP
Tom Glavine,Sports,Baseball,INTJ
Tom Landry,Sports,Football,ISTP
Tom Phillips,Sports,Wrestling,ISFJ
Tom Platz,Sports,Bodybuilding,INFJ
Tom Wilson,Sports,Hockey,ESTP
Tomasz (Tomek) Fornal,Sports,Volleyball,ESFP
Tomasz Smokowski,Entertainment,"Hosts, Analysts & Commentators",ESFJ
Tommaso Ciampa,Sports,Wrestling,INTJ
Tommi Mäkinen,Sports,Autosport,ISTP
Tommy Caldwell,Sports,Climbing,ISFP
Tommy Fury,Sports,Boxing,ISFJ
Tommy Morrison,Sports,Boxing,ESTP
Tomokazu Harimoto,Sports,Table Tennis,ISFP
Toni Kroos,Sports,Football,ISTJ
Toni Storm,Sports,Wrestling,ISFP
Tony Allen,Sports,Basketball,ISTJ
Tony Cascarino,Sports,Football,INFP
Tony Dungy,Sports,Football,INFP
Tony Ferguson,Sports,MMA,ENFP
Tony Galento,Sports,Boxing,ESFP
Tony Halme,Sports,Boxing,ESTP
Tony Hawk,Sports,Skateboarding,ISTP
Tony Horton,Sports,Bodybuilding,ENTJ
Tony Jaa,Sports,Martial Arts,ISFP
Tony Kemp,Sports,Baseball,ENFJ
Tony Khan,Sports,Wrestling,ENFP
Tony La Russa,Sports,Baseball,ENTJ
Tony Parker,Sports,Basketball,ISTJ
Tony Pollard,Sports,Football,ISFJ
Tony Romo,Sports,Football,ENFP
Tony Stewart,Sports,Autosport,ESTP
Tonya Harding,Sports,Ice skating,ESFP
Torii Hunter,Sports,Baseball,ESFJ
Torrie Wilson,Sports,Wrestling,ENFJ
Tostão,Sports,Football,INTP
Toto Wolff,Sports,Autosport,ENTJ
Tracy McGrady,Sports,Basketball,ISFP
Tracy Wilson,Sports,Ice skating,ESFJ
Trae Young,Sports,Basketball,ESFP
Travis d'Arnaud,Sports,Baseball,ISTJ
Travis Etienne,Sports,Football,ESFP
Travis Hafner,Sports,Baseball,ISTJ
Travis Henry,Sports,Football,ESTP
Travis Kelce,Sports,Football,ISFP
Travis Konecny,Sports,Hockey,ESFP
Travis Pastrana,Sports,Daredevils and Stunt Performers,ISFP
Travon Walker,Sports,Football,ISTP
Trayvon Mullen,Sports,Football,ISTJ
Tre Flowers,Sports,Football,ESFJ
Tre Mason,Sports,Football,ISFP
Tre'Davious White,Sports,Football,ESFP
Trea Turner,Sports,Baseball,ISFP
Tren Twins,Sports,Bodybuilding,ESTP
Tren Twins (Chris),Sports,Bodybuilding,ISTP
Tren Twins (Mike),Sports,Bodybuilding,ESTP
Trent Alexander-Arnold,Sports,Football,ISTP
Trent Cole,Sports,Football,ISTJ
Trent Dilfer,Sports,Football,ESTJ
Trent Grisham,Sports,Baseball,ESFJ
Trent Richardson,Sports,Football,ISFP
Trent Williams,Sports,Football,ISTJ
Trevon Diggs,Sports,Football,ESFP
Trevor Bauer,Sports,Baseball,ENTP
Trevor Clevenot,Sports,Volleyball,ENTP
Trevor Hoffman,Sports,Baseball,ESTJ
Trevor Lawrence,Sports,Football,ISFP
Trevor Penning,Sports,Football,ESTJ
Trevor Rosenthal,Sports,Baseball,ISFJ
